[2026-04-10 13:31:01] [INFO] Zappy Client starting...
[2026-04-10 13:31:01] [INFO] Team: team2
[2026-04-10 13:31:01] [INFO] Target Level: 8
[2026-04-10 13:31:01] [INFO] Fork enabled: yes
[2026-04-10 13:31:01] [INFO] Connecting to localhost:8674
[2026-04-10 13:31:01] [WARN] TLS: Certificate verification disabled (insecure mode)
[2026-04-10 13:31:01] [INFO] TLS context initialized successfully
[2026-04-10 13:31:01] [INFO] WebSocket: Starting connection to localhost:8674
[2026-04-10 13:31:01] [INFO] TLS handshake completed successfully
[2026-04-10 13:31:01] [INFO] WebSocket: HTTP 101 Upgrade successful
[2026-04-10 13:31:01] [INFO] WebSocket: Handshake complete, connection established
[2026-04-10 13:31:01] [INFO] Websocket connected
[2026-04-10 13:31:01] [INFO] Received bienvenue: {"type":"bienvenue","msg":"Whoa! Knock knock, whos there?"}
[2026-04-10 13:31:01] [INFO] Map size: 10x10
[2026-04-10 13:31:01] [INFO] Remaining team slots: 8
[2026-04-10 13:31:01] [INFO] Login successful! {"type":"welcome","remaining_clients":8,"map_size":{"x":10,"y":10}}
[2026-04-10 13:31:01] [INFO] Successfully logged in as team2
[2026-04-10 13:31:01] [INFO] Connected! Starting main loop...
[2026-04-10 13:31:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:01] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:08] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:11] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:20] [INFO] AI: Need 1 stones for next level
