[2026-04-10 13:23:02] [INFO] Zappy Client starting...
[2026-04-10 13:23:02] [INFO] Team: team2
[2026-04-10 13:23:02] [INFO] Target Level: 8
[2026-04-10 13:23:02] [INFO] Fork enabled: yes
[2026-04-10 13:23:02] [INFO] Connecting to localhost:8674
[2026-04-10 13:23:02] [WARN] TLS: Certificate verification disabled (insecure mode)
[2026-04-10 13:23:02] [INFO] TLS context initialized successfully
[2026-04-10 13:23:02] [INFO] WebSocket: Starting connection to localhost:8674
[2026-04-10 13:23:02] [INFO] TLS handshake completed successfully
[2026-04-10 13:23:03] [INFO] WebSocket: HTTP 101 Upgrade successful
[2026-04-10 13:23:03] [INFO] WebSocket: Handshake complete, connection established
[2026-04-10 13:23:03] [INFO] Websocket connected
[2026-04-10 13:23:03] [INFO] Received bienvenue: {"type":"bienvenue","msg":"Whoa! Knock knock, whos there?"}
[2026-04-10 13:23:03] [INFO] Map size: 10x10
[2026-04-10 13:23:03] [INFO] Remaining team slots: 7
[2026-04-10 13:23:03] [INFO] Login successful! {"type":"welcome","remaining_clients":7,"map_size":{"x":10,"y":10}}
[2026-04-10 13:23:03] [INFO] Successfully logged in as team2
[2026-04-10 13:23:03] [INFO] Connected! Starting main loop...
[2026-04-10 13:23:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:03] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:23:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:08] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:08] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:08] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:13] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:23:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:23] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:23:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:27] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:27] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:23:30] [INFO] AI: Need 1 stones for next level
